जिला,विधानसभा,जिला पंचायत वार्ड
अमरोहा,41. Amroha,1-अमरोहा एवं जोया
अमरोहा,41. Amroha,2-अमरोहा प्रथम
अमरोहा,41. Amroha,3-अमरोहा द्वितीय
अमरोहा,41. Amroha,4-अमरोहा तृतीय
अमरोहा,40. Naugawan Sadat,5-अमरोहा व जोया व धनौरा
अमरोहा,39. Dhanaura,6-अमरोहा एवं धनौरा
अमरोहा,39. Dhanaura,7-धनौरा प्रथम
अमरोहा,39. Dhanaura,8-धनौरा द्वितीय
अमरोहा,39. Dhanaura,9-धनौरा एवं गजरौला प्रथम
अमरोहा,39. Dhanaura,10-धनौरा एवं गजरौला द्वितीय
अमरोहा,39. Dhanaura,11-गजरौला प्रथम
अमरोहा,39. Dhanaura,12-गजरौला द्वितीय
अमरोहा,40. Naugawan Sadat,13-गजरौला एवं हसनपुर
अमरोहा,40. Naugawan Sadat,14-हसनपुर एवं जोया
अमरोहा,40. Naugawan Sadat,15-हसनपुर प्रथम
अमरोहा,42. Hasanpur,16-हसनपुर एवं गंगेश्वरी
अमरोहा,42. Hasanpur,17-हसनपुर द्वितीय
अमरोहा,42. Hasanpur,18-गंगेश्वरी प्रथम
अमरोहा,42. Hasanpur,19-गंगेश्वरी द्वितीय
अमरोहा,42. Hasanpur,20-गंगेश्वरी तृतीय
अमरोहा,42. Hasanpur,21-हसनपुर एवं गंगेश्वरी
अमरोहा,42. Hasanpur,22-जोया प्रथम
अमरोहा,40. Naugawan Sadat,23-जोया द्वितीय
अमरोहा,42. Hasanpur,24-जोया तृतीय
अमरोहा,41. Amroha,25-जोया चतुर्थ
अमरोहा,41. Amroha,26-जोया पंचम
अमरोहा,41. Amroha,27-जोया षष्टम
अमेठी,185. Gauriganj,1-मुसाफिरखाना प्रथम
अमेठी,185. Gauriganj,2-मुसाफिरखाना द्वितीय
अमेठी,185. Gauriganj,3-मुसाफिरखाना एवं  जगदीशपुर
अमेठी,184. Jagdishpur,4-जगदीशपुर प्रथम
अमेठी,184. Jagdishpur,5-जगदीशपुर द्वितीय
अमेठी,184. Jagdishpur,6-जगदीशपुर तृतीय
अमेठी,184. Jagdishpur,7-जगदीशपुर एवं बाजारशुकुल
अमेठी,184. Jagdishpur,8-बाजारशुकुल प्रथम
अमेठी,184. Jagdishpur,9-बाजारशुकुल द्वितीय
अमेठी,184. Jagdishpur,10-बाजारशुकुल एवं जगदीशपुर
अमेठी,178. Tiloi,11-जगदीशपुर एवं सिंहपुर
अमेठी,178. Tiloi,12-सिंहपुर प्रथम
अमेठी,178. Tiloi,13-सिंहपुर द्वितीय
अमेठी,178. Tiloi,14-सिंहपुर तृतीय
अमेठी,178. Tiloi,15-सिंहपुर एवं तिलोई
अमेठी,178. Tiloi,16-तिलोई
अमेठी,178. Tiloi,17-तिलोई
अमेठी,178. Tiloi,18-तिलोई एवं बहादुरपुर
अमेठी,178. Tiloi,19-बहादुरपुर  प्रथम
अमेठी,178. Tiloi,20-बहादुरपुर  द्वितीय
अमेठी,178. Tiloi,21-बहादुरपुर एवं जामों
अमेठी,185. Gauriganj,22-जामों प्रथम
अमेठी,185. Gauriganj,23-जामों द्वितीय
अमेठी,185. Gauriganj,24-जामों एवं गौरीगंज
अमेठी,185. Gauriganj,25-गौरीगंज प्रथम
अमेठी,185. Gauriganj,26-गौरीगंज एवं  शाहगढ
अमेठी,186. Amethi,27-अमेठी प्रथम
अमेठी,186. Amethi,28-अमेठी द्वितीय
अमेठी,186. Amethi,29-अमेठी एवं संग्रामपुर
अमेठी,186. Amethi,30-संग्रामपुर प्रथम
अमेठी,186. Amethi,31-संग्रामपुर एवं भादर
अमेठी,186. Amethi,32-भादर  प्रथम
अमेठी,186. Amethi,33-भादर एवं  भेटुआ
अमेठी,186. Amethi,34-भेटुआ  प्रथम
अमेठी,186. Amethi,35-भेटुआ एवं  शाहगढ
अमेठी,185. Gauriganj,36- शाहगढ प्रथम
अम्बेडकर नगर,279. Alapur,1-जहाँगीरगंज पूर्वी
अम्बेडकर नगर,279. Alapur,2-जहाँगीरगंज मध्य
