जिला,विधानसभा,विकास खण्ड
अमरोहा,41. Amroha,अमरोहा
अमरोहा,39. Dhanaura,गजरौला
अमरोहा,42. Hasanpur,गंगेश्वरी
अमरोहा,39. Dhanaura,धनौरा
अमरोहा,42. Hasanpur,हसनपुर
अमरोहा,41. Amroha,जोया
अमेठी,186. Amethi,अमेठी
अमेठी,184. Jagdishpur,बाजार शुक्ल
अमेठी,186. Amethi,भादर
अमेठी,185. Gauriganj,गौरी गंज
अमेठी,185. Gauriganj,जामों
अमेठी,184. Jagdishpur,जगदीशपुर
अमेठी,186. Amethi,भेटुआ
अमेठी,185. Gauriganj,मुसाफिरखाना
अमेठी,186. Amethi,संग्रामपुर
अमेठी,185. Gauriganj,शाहगढ
अमेठी,178. Tiloi,तिलोई
अमेठी,178. Tiloi,बहादुरपुर
अमेठी,178. Tiloi,सिंहपुर
अम्बेडकर नगर,277. Katehari,कटेहरी
अम्बेडकर नगर,280. Jalalpur,जलालपुर
अम्बेडकर नगर,281. Akbarpur,अकबरपुर
अम्बेडकर नगर,278. Tanda,टाण्डा
अम्बेडकर नगर,277. Katehari,भीटी
अम्बेडकर नगर,278. Tanda,बसखारी
अम्बेडकर नगर,279. Alapur,रामनगर
अम्बेडकर नगर,279. Alapur,जहाँगीरगंज
अम्बेडकर नगर,280. Jalalpur,भियाँव
अयोध्या,274. Bikapur,मसौधा
अयोध्या,275. Ayodhya,पूराबाजार
अयोध्या,274. Bikapur,सोहावल
अयोध्या,276. Goshainganj,मयाबाजार
अयोध्या,274. Bikapur,बीकापुर
अयोध्या,276. Goshainganj,तारून
अयोध्या,273. Milkipur,हरिंग्टनगंज
अयोध्या,273. Milkipur,अमानीगंज
अयोध्या,273. Milkipur,मिल्कीपुर
अयोध्या,271. Rudauli,रूदौली
अयोध्या,271. Rudauli,मवई
अलीगढ़,77. Iglas,लोधा
अलीगढ़,73. Atrauli,बिजौली
अलीगढ़,71. Khair,टप्पल
अलीगढ़,77. Iglas,गोंडा
अलीगढ़,74. Chharra,गंगीरी
अलीगढ़,71. Khair,खैर
अलीगढ़,77. Iglas,इगलास
अलीगढ़,74. Chharra,धनीपुर
अलीगढ़,73. Atrauli,अतरौली
अलीगढ़,72. Barauli,चण्डौस
अलीगढ़,74. Chharra,अकराबाद
अलीगढ़,72. Barauli,जवां
आगरा,86. Etmadpur,एत्मादपुर
आगरा,86. Etmadpur,खन्दौली
आगरा,90. Agra Rural,अकोला
आगरा,90. Agra Rural,बिचपुरी
आगरा,90. Agra Rural,बरौली अहीर
आगरा,91. Fatehpur Sikri,फतेहपुर सीकरी
आगरा,91. Fatehpur Sikri,अछनेरा
आगरा,92. Kheragarh,खेरागढ
आगरा,92. Kheragarh,सौंया
आगरा,92. Kheragarh,जगनेर
आगरा,93. Fatehabad,शमशाबाद
आगरा,93. Fatehabad,फतेहाबाद
आगरा,94. Bah,बाह
आगरा,94. Bah,पिनाहाट
आगरा,93. Fatehabad,जौतपुर कलाँ
आजमगढ़,347. Azamgarh,रानी की सराय
आजमगढ़,348. Nizamabad,तहबरपुर
आजमगढ़,348. Nizamabad,मिर्जापुर
आजमगढ़,350. Didarganj,मुहम्मदपुर
आजमगढ़,347. Azamgarh,पल्हनी
आजमगढ़,351. Lalganj,लालगंज
आजमगढ़,351. Lalganj,ठेकमा
आजमगढ़,352. Mehnagar,तरवां
आजमगढ़,352. Mehnagar,मेहनगर
आजमगढ़,346. Mubarakpur,जहानागंज
आजमगढ़,346. Mubarakpur,सठियाव
आजमगढ़,344. Gopalpur,बिलरियागंज
आजमगढ़,344. Gopalpur,अजमतगढ
आजमगढ़,346. Mubarakpur,महराजगंज
आजमगढ़,345. Sagri,हरैया
आजमगढ़,349. Phoolpur Pawai,फूलपुर
आजमगढ़,349. Phoolpur Pawai,पवई
आजमगढ़,350. Didarganj,मार्टिनगंज
आजमगढ़,343. Atrauliya,कोयलसा
आजमगढ़,343. Atrauliya,अतरौलिया
आजमगढ़,343. Atrauliya,अहिरौला
आजमगढ़,351. Lalganj,पल्हना
इटावा,201. Bharthana,चकर नगर
इटावा,199. Jaswant Nagar,सैफई
इटावा,199. Jaswant Nagar,जसवंत नगर
इटावा,201. Bharthana,भरथना
इटावा,199. Jaswant Nagar,ताखा
इटावा,200. Etawah,बढ.पुरा
इटावा,200. Etawah,बसरेहर
इटावा,201. Bharthana,महेवा
उन्नाव,164. Mohan,मियॉगंज
उन्नाव,164. Mohan,औरास
उन्नाव,167. Purwa,पुरवा
उन्नाव,163. Safipur,हसनगंज
उन्नाव,162. Bangarmau,बांगरमऊ
उन्नाव,163. Safipur,सफीपुर
उन्नाव,162. Bangarmau,गंज मुरादाबाद
उन्नाव,167. Purwa,सिकन्दरपुर करन
उन्नाव,164. Mohan,नवाबगंज
उन्नाव,167. Purwa,बीघापुर
उन्नाव,166. Bhagwantnagar,सुमेरपुर
उन्नाव,167. Purwa,असोहा
उन्नाव,162. Bangarmau,फतेहपुर चौरासी
उन्नाव,165. Unnao,सि0 सिरोसी
उन्नाव,167. Purwa,बिछिया
उन्नाव,167. Purwa,हिलौली
एटा,105. Marhara,मारहरा
एटा,104. Etah,सकीट
एटा,106. Jalesar,अवागढ
एटा,104. Etah,शीतलपुर
एटा,104. Etah,निधौली कलॉ
एटा,106. Jalesar,जलेसर
एटा,104. Etah,जैथरा
एटा,103. Aliganj,अलीगंज
औरैया,202. Bidhuna,एरवा कटरा
औरैया,203. Dibiyapur,अछल्दा
औरैया,204. Auraiya,अजीतमल
औरैया,204. Auraiya,औरैया
औरैया,202. Bidhuna,विधूना
औरैया,202. Bidhuna,सहार
औरैया,203. Dibiyapur,भाग्यनगर
कन्नौज,198. Kannauj,कन्नौज
कन्नौज,198. Kannauj,जलालाबाद
कन्नौज,196. Chhibramau,तालग्राम
कन्नौज,196. Chhibramau,छिबरामऊ
कन्नौज,197. Tirwa,सौरिख
कन्नौज,197. Tirwa,उमर्दा
कन्नौज,197. Tirwa,हसेरन
कन्नौज,198. Kannauj,गुगरापुर
कानपुर देहात,207. Sikandra,झींझक
कानपुर देहात,207. Sikandra,राजपुर
कानपुर देहात,207. Sikandra,डेरापुर
कानपुर देहात,205. Rasulabad,मैथा
कानपुर देहात,208. Bhognipur,अमरौधा
कानपुर देहात,208. Bhognipur,मलासा
कानपुर देहात,207. Sikandra,सन्दलपुर
