जिला,नगर निगम,विधानसभा,वार्ड
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,1-अभिरामदास
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,2-पुरूषोत्‍तम नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,3-झलकारी बाई
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,4-दर्शन नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,5-अवैद्यनाथ
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,6-श्‍यामा प्रसाद मुखर्जी
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,7-चौधरी चरण सिंह
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,8-कौशलपुरी
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,9-शिवनगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,10-लाला लाजपत राय नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,11-कृष्णानगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,12-परंमहंस रामचन्‍द्र दाास
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,13-आचार्य नरेन्‍द्रदेव
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,14-कर्पुरी ठाकुर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,15-सावरकर नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,16-महाराणा प्रताप
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,17-पं0 दीनदयाल नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,18-वशिष्‍ठ कुण्‍ड
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,19-सीताकुण्‍ड
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,20-संत रविदास नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,21-हनुमान कुण्‍ड
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,22-सरदार भगत सिंह
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,23-सरदार पटेल नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,24-चित्रगुप्‍त नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,25-अटल नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,26-जनौरा
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,27-हनुमत नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,28-अश्‍वनी पुरम
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,29-अश्‍फाक उल्‍ला खां
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,30-दशरथ कुण्‍ड
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,31-देवकाली
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,32-कबीर नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,33-साकेत नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,34-निषादराज नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,35-अम्‍बेडकर नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,36-अवधपुरी
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,37-कल्‍याण सिंह
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,38-बडी देवकाली
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,39-अमानीगंज
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,40-महात्मागांधी
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,41-राम मनोहर लोहिया
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,42-विक्रमादित्‍य नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,43-शहीद अब्‍दुल हमीद
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,44-जय प्रकाश नारायण
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,45-राम कोट
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,46-पाटेश्‍वरी नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,47-झारखण्‍डी
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,48-लक्षमी सागर नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,49-मगंल पाण्‍डेय
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,50-शिवाजी नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,51-अशोकसिंधल नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,52-लक्ष्‍मण घाट
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,53-चन्‍द्र शेखर नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,54-अग्रसेन नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,55-मणिरामदास छावनी
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,56-सुभाष चन्‍द्र बोस
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,57-चन्‍द्र गुप्‍त नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,58-नानकपुरा
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,59-झूले लाल नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,59-झूले लाल नगर
अयोध्या,नगर निगम - 2-अयोध्या,275. Ayodhya,60-स्‍वामी विवेका नन्‍द
अलीगढ़,नगर निगम - 1-अलीगढ,74. Chharra,1-नगला मानसिंह
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,2-नगला कलार
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,3-पला साहिबाबाद
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,4-सराय गढी
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,5-सिधौली
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,6-सराय कावा
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,7-नगला पला
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,8-सराय लवरिया
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,9-नौरंगाबाद
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,10-सराय दीनदयाल
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,11-इन्द्रा नगर खैर रोड
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,12-बौद्व बिहार
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,13-नौनेर गेट
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,14-सुरक्षा बिहार
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,15-नगला मसानी
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,16-सराय हरनारायण
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,19-नगला मौलवी
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,20-सराय पक्की
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,21-सनीचरी पौंठ
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,22-डोरी नगर
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,23-बढौली फतेह खॉ
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,24-दैवसेनी
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,25-क्वार्सी
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,26-फायर बिग्रेड
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,27-ब्रहमनपुरी
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,28-गम्भीरपुरा
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,29-देहली गेट
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,30-रिसाल सिंह नगर
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,31-नई बस्ती
अलीगढ़,नगर निगम - 1-अलीगढ,72. Barauli,32-एलमपुर
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,33-किशनपुर
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,34-ज्वालाजी पुरम
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,35-महफूज नगर
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,36-धनीपुर
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,38-चन्दनिया
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,39-काला महल
अलीगढ़,नगर निगम - 1-अलीगढ,72. Barauli,40-सॉई बिहार कालोनी
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,41-असदपुर क्याम
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,42-रसलगंज
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,43-आवास विकास कालोनी इगलास रोड
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,44-मकदूमनगर
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,45-भमोला
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,46-बदरबाग
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,47-नगला आंशिक अली
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,48-भगवान गढी
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,49-बेगपुर
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,50-विकास नगर ए डी ए कोलोनी
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,51-मावूद नगर
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,52-दोदपुर
अलीगढ़,नगर निगम - 1-अलीगढ,75. Koil,53-रामबाग कॉलोनी
अलीगढ़,नगर निगम - 1-अलीगढ,76. Aligarh,54-बरौला जाफराबाद
