जिला,"विधानसभा
",नगर पालिका
अमरोहा,41. Amroha,नगर पालिका परिषद - 1-अमरोहा
अमरोहा,42. Hasanpur,नगर पालिका परिषद - 2-हसनपुर
अमरोहा,39. Dhanaura,नगर पालिका परिषद - 3-धनौरा
अमरोहा,39. Dhanaura,नगर पालिका परिषद - 5-गजरौला
अमेठी,178. Tiloi,नगर पालिका परिषद - 1-जायस
अमेठी,185. Gauriganj,नगर पालिका परिषद - 2-गौरीगंज
अम्बेडकर नगर,281. Akbarpur,नगर पालिका परिषद - 1-अकबरपुर
अम्बेडकर नगर,278. Tanda,नगर पालिका परिषद - 2-टाण्डा
अलीगढ़,71. Khair,नगर पालिका परिषद - 1-खैर
आगरा,93. Fatehabad,नगर पालिका परिषद - 2-शमसाबाद
आगरा,91. Fatehpur Sikri,नगर पालिका परिषद - 5-अछनेरा
आजमगढ़,346. Mubarakpur,नगर पालिका परिषद - 1-मुबारकपुर
इटावा,200. Etawah,नगर पालिका परिषद - 1-इटावा
उन्नाव,165. Unnao,नगर पालिका परिषद - 1-उन्नाव
उन्नाव,165. Unnao,नगर पालिका परिषद - 2-बांगरमऊ
उन्नाव,162. Bangarmau,नगर पालिका परिषद - 3-गंगाघाट
एटा,104. Etah,नगर पालिका परिषद - 1-अलीगंज
एटा,104. Etah,नगर पालिका परिषद - 3-एटा
एटा,105. Marhara,नगर पालिका परिषद - 4-जलेसर
औरैया,204. Auraiya,नगर पालिका परिषद - 1-औरैया
कन्नौज,196. Chhibramau,नगर पालिका परिषद - 2-छिबरामऊ
कन्नौज,196. Chhibramau,नगर पालिका परिषद - 3-गुरसहायगंज
कानपुर देहात,208. Bhognipur,नगर पालिका परिषद - 1-पुखरायाँ
कानपुर देहात,205. Rasulabad,नगर पालिका परिषद - 2-झींझक
कानपुर नगर,218. Ghatampur,नगर पालिका परिषद - 1-घाटमपुर
कासगंज,100. Kasganj,नगर पालिका परिषद - 1-सोरों
कासगंज,100. Kasganj,नगर पालिका परिषद - 3-कासगंज
कुशीनगर,330. Padrauna,नगर पालिका परिषद - 1-पडरौना
कुशीनगर,333. Kushinagar,नगर पालिका परिषद - 2-कुशीनगर
कौशाम्बी,252. Manjhanpur,नगर पालिका परिषद - 1-भरवारी
कौशाम्बी,252. Manjhanpur,नगर पालिका परिषद - 2-मंझनपुर
गाजियाबाद,57. Modi Nagar,नगर पालिका परिषद - 4-मोदी नगर
गाजियाबाद,53. Loni,नगर पालिका परिषद - 6-लोनी
गाजियाबाद,55. Sahibabad,नगर पालिका परिषद - 7-खोड़ा- मकनपुर
गाज़ीपुर,374. Saidpur,नगर पालिका परिषद - 1-गाजीपुर
गाज़ीपुर,379. Zamaniya,नगर पालिका परिषद - 2-जमानियां
