जिला,विधानसभा,नगर पंचायत
अमरोहा,41. Amroha,नगर पंचायत - 1-जोया
अमरोहा,42. Hasanpur,नगर पंचायत - 3-उझारी
अमरोहा,40. Naugawan Sadat,नगर पंचायत - 4-नौगावां सादात
अमरोहा,42. Hasanpur,नगर पंचायत - 5-सैदनगली
अमेठी,185. Gauriganj,नगर पंचायत - 3-मुसाफिरखाना
अमेठी,186. Amethi,नगर पंचायत - 4-अमेठी
अम्बेडकर नगर,278. Tanda,नगर पंचायत - 1-अशरफपुर किछौछा
अम्बेडकर नगर,278. Tanda,नगर पंचायत - 2-इल्तिफातगंज
अम्बेडकर नगर,279. Alapur,नगर पंचायत - 3-राजेसुल्तानपुर
अम्बेडकर नगर,279. Alapur,नगर पंचायत - 4-जहांगीरगंज
अयोध्या,276. Goshainganj,नगर पंचायत - 1-गोसाई गंज
अयोध्या,274. Bikapur,नगर पंचायत - 2-भरतकुण्ड भदरसा
अयोध्या,274. Bikapur,नगर पंचायत - 3-बीकापुर
अयोध्या,273. Milkipur,नगर पंचायत - 4-कुमार गंज
अयोध्या,274. Bikapur,नगर पंचायत - 5-खिरौनी सुचित्तागंज
अयोध्या,271. Rudauli,नगर पंचायत - 6-मॉ कामाख्या
अलीगढ़,74. Chharra,नगर पंचायत - 1-छर्रा
अलीगढ़,77. Iglas,नगर पंचायत - 2-बेसवां
अलीगढ़,77. Iglas,नगर पंचायत - 3-इगलास
अलीगढ़,71. Khair,नगर पंचायत - 4-जट्टारी
अलीगढ़,74. Chharra,नगर पंचायत - 5-कौडियागंज
अलीगढ़,74. Chharra,नगर पंचायत - 6-जलाली
अलीगढ़,74. Chharra,नगर पंचायत - 7-पिलखना
अलीगढ़,74. Chharra,नगर पंचायत - 8-विजयगढ
अलीगढ़,72. Barauli,नगर पंचायत - 9-हरदुआगंज
अलीगढ़,75. Koil,नगर पंचायत - 11-मडराक
अलीगढ़,72. Barauli,नगर पंचायत - 12-जवॉ सिकन्दरपुर
अलीगढ़,71. Khair,नगर पंचायत - 13-चण्डौस
अलीगढ़,71. Khair,नगर पंचायत - 14-पिसावा
अलीगढ़,72. Barauli,नगर पंचायत - 15-बरौली
अलीगढ़,72. Barauli,नगर पंचायत - 16-गभाना
आगरा,94. Bah,नगर पंचायत - 1-पिनाहट
आगरा,93. Fatehabad,नगर पंचायत - 2-फतेहाबाद
आगरा,91. Fatehpur Sikri,नगर पंचायत - 3-किरावली
आगरा,92. Kheragarh,नगर पंचायत - 4-खेरागढ
आगरा,92. Kheragarh,नगर पंचायत - 5-जगनेर
आगरा,89. Agra North,नगर पंचायत - 7-स्वामी बाग
आजमगढ़,348. Nizamabad,नगर पंचायत - 1-निजामाबाद
आजमगढ़,352. Mehnagar,नगर पंचायत - 3-मेहनगर
आजमगढ़,345. Sagri,नगर पंचायत - 4-अजमतगढ
आजमगढ़,345. Sagri,नगर पंचायत - 5-जीयनपुर
आजमगढ़,351. Lalganj,नगर पंचायत - 6-कटघर लालगंज
आजमगढ़,348. Nizamabad,नगर पंचायत - 7-सरायमीर
आजमगढ़,349. Phoolpur Pawai,नगर पंचायत - 8-फूलपुर
आजमगढ़,343. Atrauliya,नगर पंचायत - 9-अतरौलिया
आजमगढ़,344. Gopalpur,नगर पंचायत - 10-महराजगंज
आजमगढ़,349. Phoolpur Pawai,नगर पंचायत - 11-माहुल
आजमगढ़,346. Mubarakpur,नगर पंचायत - 12-बूढ़नपुर
आजमगढ़,346. Mubarakpur,नगर पंचायत - 13-जहानागंज बाजार
आजमगढ़,350. Didarganj,नगर पंचायत - 14-मॉर्टिनगंज
इटावा,200. Etawah,नगर पंचायत - 1-इकदिल
इटावा,201. Bharthana,नगर पंचायत - 2-बकेवर
इटावा,201. Bharthana,नगर पंचायत - 3-लखना
उन्नाव,163. Safipur,नगर पंचायत - 1-हैदराबाद
उन्नाव,162. Bangarmau,नगर पंचायत - 2-कुरसठ
उन्नाव,162. Bangarmau,नगर पंचायत - 3-फतेहपुर चौरासी
उन्नाव,166. Bhagwantnagar,नगर पंचायत - 4-भगवन्त नगर
उन्नाव,164. Mohan,नगर पंचायत - 5-मोहान
उन्नाव,163. Safipur,नगर पंचायत - 6-रसूलाबाद
उन्नाव,166. Bhagwantnagar,नगर पंचायत - 7-बीघापुर
उन्नाव,164. Mohan,नगर पंचायत - 8-न्योतनी
उन्नाव,164. Mohan,नगर पंचायत - 9-औरास
उन्नाव,162. Bangarmau,नगर पंचायत - 10-ऊगू
उन्नाव,164. Mohan,नगर पंचायत - 11-नवाबगंज
उन्नाव,162. Bangarmau,नगर पंचायत - 12-गंज मुरादाबाद
उन्नाव,167. Purwa,नगर पंचायत - 13-मौरावां
उन्नाव,163. Safipur,नगर पंचायत - 14-सफीपुर
उन्नाव,167. Purwa,नगर पंचायत - 15-पुरवा
उन्नाव,167. Purwa,नगर पंचायत - 16-अचलगंज
एटा,104. Etah,नगर पंचायत - 1-सकीट
एटा,103. Aliganj,नगर पंचायत - 2-राजा का रामपुर
एटा,106. Jalesar,नगर पंचायत - 3-अवागढ
एटा,104. Etah,नगर पंचायत - 4-जैथरा
एटा,105. Marhara,नगर पंचायत - 5-निधौली कलॉं
एटा,105. Marhara,नगर पंचायत - 6-मिरहची
औरैया,203. Dibiyapur,नगर पंचायत - 1-दिबियापुर
औरैया,203. Dibiyapur,नगर पंचायत - 2-फफूद
औरैया,204. Auraiya,नगर पंचायत - 3-अटसू
औरैया,204. Auraiya,नगर पंचायत - 4-बाबरपुर अजीतमल
औरैया,203. Dibiyapur,नगर पंचायत - 5-अछल्दा
औरैया,202. Bidhuna,नगर पंचायत - 6-बिधूना
कन्नौज,196. Chhibramau,नगर पंचायत - 1-तालग्राम
कन्नौज,197. Tirwa,नगर पंचायत - 2-सौरिख
कन्नौज,197. Tirwa,नगर पंचायत - 3-तिर्वागंज
कन्नौज,196. Chhibramau,नगर पंचायत - 4-सिकन्दरपुर
कन्नौज,198. Kannauj,नगर पंचायत - 5-समधन
कानपुर देहात,208. Bhognipur,नगर पंचायत - 1-अमरौधा
कानपुर देहात,207. Sikandra,नगर पंचायत - 2-सिकन्दरा
कानपुर देहात,206. Akbarpur Rania,नगर पंचायत - 3-शिवली
कानपुर देहात,206. Akbarpur Rania,नगर पंचायत - 4-रूरा
कानपुर देहात,206. Akbarpur Rania,नगर पंचायत - 5-अकबरपुर
कानपुर देहात,205. Rasulabad,नगर पंचायत - 7-रसूलाबाद
कानपुर देहात,207. Sikandra,नगर पंचायत - 8-डेरापुर
कानपुर देहात,206. Akbarpur Rania,नगर पंचायत - 9-रनियां
कानपुर देहात,208. Bhognipur,नगर पंचायत - 10-मूसानगर
कानपुर देहात,206. Akbarpur Rania,नगर पंचायत - 11-कंचौसी
कानपुर देहात,207. Sikandra,नगर पंचायत - 12-राजपुर
कानपुर नगर,210. Bithoor,नगर पंचायत - 1-बिठूर
कानपुर नगर,209. Bilhaur,नगर पंचायत - 2-शिवराज पुर
कासगंज,102. Patiyali,नगर पंचायत - 1-पटियाली
कासगंज,101. Amanpur,नगर पंचायत - 2-मोहनपुर
कासगंज,102. Patiyali,नगर पंचायत - 3-भरगैन
कासगंज,102. Patiyali,नगर पंचायत - 4-सिढपुरा
कासगंज,101. Amanpur,नगर पंचायत - 5-सहावर
कासगंज,102. Patiyali,नगर पंचायत - 7-अमॉपुर
कासगंज,100. Kasganj,नगर पंचायत - 12-विलराम
कुशीनगर,335. Ramkola,नगर पंचायत - 1-रामकोला
कुशीनगर,335. Ramkola,नगर पंचायत - 3-कप्तानगंज
कुशीनगर,329. Khadda,नगर पंचायत - 5-खडडा
कुशीनगर,331. Tamkuhi Raj,नगर पंचायत - 6-सेवरही
कुशीनगर,329. Khadda,नगर पंचायत - 7-छितौनी
कुशीनगर,332. Fazilnagar,नगर पंचायत - 8-दुदही
कुशीनगर,332. Fazilnagar,नगर पंचायत - 9-फाजिलनगर
कुशीनगर,334. Hata,नगर पंचायत - 10-सुकरौली
कुशीनगर,331. Tamkuhi Raj,नगर पंचायत - 11-तमकुहीराज
कुशीनगर,333. Kushinagar,नगर पंचायत - 12-मथौली
कौशाम्बी,253. Chayal,नगर पंचायत - 1-चायल
कौशाम्बी,253. Chayal,नगर पंचायत - 2-सराय आकिल
कौशाम्बी,253. Chayal,नगर पंचायत - 3-करारी
कौशाम्बी,251. Sirathu,नगर पंचायत - 4-अझुबा
कौशाम्बी,251. Sirathu,नगर पंचायत - 5-सिराथू
कौशाम्बी,251. Sirathu,नगर पंचायत - 6-दारा नगर कड़ाधाम
कौशाम्बी,253. Chayal,नगर पंचायत - 7-चरवा
कौशाम्बी,252. Manjhanpur,नगर पंचायत - 8-पूरब पश्चिम शरीरा
गाजियाबाद,54. Muradnagar,नगर पंचायत - 1-निवाडी
गाजियाबाद,54. Muradnagar,नगर पंचायत - 2-पतला
गाजियाबाद,54. Muradnagar,नगर पंचायत - 3-फरीदनगर
गाजियाबाद,58. Dholana,नगर पंचायत - 5-डासना
गाज़ीपुर,374. Saidpur,नगर पंचायत - 1-सैदपुर
गाज़ीपुर,373. Jakhanian,नगर पंचायत - 2-सादात
गाज़ीपुर,377. Zahoorabad,नगर पंचायत - 3-बहादुरगंज
गाज़ीपुर,376. Jangipur,नगर पंचायत - 4-जंगीपुर
गाज़ीपुर,379. Zamaniya,नगर पंचायत - 5-दिलदार नगर
गोंडा,297. Katra Bazar,नगर पंचायत - 2-कटरा
गोंडा,300. Mankapur,नगर पंचायत - 3-मनकापुर
गोंडा,295. Mehnaun,नगर पंचायत - 4-खरगूपुर
गोंडा,298. Colonelganj,नगर पंचायत - 5-परसपुर
गोंडा,295. Mehnaun,नगर पंचायत - 6-धानेपुर
गोंडा,299. Tarabganj,नगर पंचायत - 7-बेलसर
गोंडा,299. Tarabganj,नगर पंचायत - 8-तरबगंज
गोरखपुर,324. Sahajanwa,नगर पंचायत - 1-सहजनवां
गोरखपुर,327. Bansgaon,नगर पंचायत - 2-बांसगांव
गोरखपुर,326. Chauri Chaura,नगर पंचायत - 3-मुण्डेरा बाजार
गोरखपुर,320. Campiyarganj,नगर पंचायत - 4-पीपीगंज
गोरखपुर,321. Pipraich,नगर पंचायत - 5-पिपराइच
गोरखपुर,328. Chillupar,नगर पंचायत - 6-गोलाबाजार
गोरखपुर,328. Chillupar,नगर पंचायत - 7-बडहलगंज
गोरखपुर,324. Sahajanwa,नगर पंचायत - 8-कस्बा संग्रामपुर उर्फ उनवल
गोरखपुर,320. Campiyarganj,नगर पंचायत - 9-चौमुखा
गोरखपुर,328. Chillupar,नगर पंचायत - 10-उरूवॉ बाजार
गोरखपुर,324. Sahajanwa,नगर पंचायत - 11-घघसरा बाजार
गौतमबुद्ध नगर,62. Dadri,नगर पंचायत - 1-दनकौर
गौतमबुद्ध नगर,63. Jewar,नगर पंचायत - 3-बिलासपुर
गौतमबुद्ध नगर,63. Jewar,नगर पंचायत - 4-जेवर
गौतमबुद्ध नगर,62. Dadri,नगर पंचायत - 5-जहांगीरपुर
चन्दौली,383. Chakia,नगर पंचायत - 1-चकिया
चन्दौली,,नगर पंचायत - 2-सौयद राजा
चन्दौली,380. Mughalsarai,नगर पंचायत - 3-चन्दोली
चित्रकूट,237. Manikpur,नगर पंचायत - 1-मानिकपुर
चित्रकूट,237. Manikpur,नगर पंचायत - 2-राजापुर
चित्रकूट,236. Chitrakoot,नगर पंचायत - 3-मऊ
जालौन,219. Madhogarh,नगर पंचायत - 1-रामपुरा
जालौन,219. Madhogarh,नगर पंचायत - 2-माधौगढ
जालौन,219. Madhogarh,नगर पंचायत - 3-ऊमरी
जालौन,221. Orai,नगर पंचायत - 4-कोटरा
जालौन,220. Kalpi,नगर पंचायत - 5-कदौरा
जालौन,219. Madhogarh,नगर पंचायत - 6-नदीगांव
जालौन,221. Orai,नगर पंचायत - 7-एट
जौनपुर,370. Mariyahu,नगर पंचायत - 1-मड़ीयाहूं
जौनपुर,369. Machhlishahar,नगर पंचायत - 2-मछली शहर
जौनपुर,372. Kerakat,नगर पंचायत - 3-केराकत
जौनपुर,366. Jaunpur,नगर पंचायत - 4-खेतासराय
जौनपुर,371. Jafrabad,नगर पंचायत - 5-जफराबाद
जौनपुर,364. Badlapur,नगर पंचायत - 6-बदलापुर
जौनपुर,370. Mariyahu,नगर पंचायत - 7-रामपुर
जौनपुर,371. Jafrabad,नगर पंचायत - 8-कचगाँव
